MDMAUD,AGE,SESNEI,UCITY,TIMEDIFF,NUMCHLD,INCOME,WEALTH1,HIT,RAMNTALL,LASTDATE,CONTROLN
XXXX,,1,T,18,,,,0,77.0,9601,179305
XXXX,71.0,4,U,18,,,,0,172.0,9603,125104
XXXX,,2,T,18,,,,0,100.0,9611,186870
XXXX,47.0,1,S,18,,6.0,9.0,5,23.0,9602,109917
XXXX,67.0,2,T,18,,1.0,7.0,1,35.0,9602,24534
XXXX,35.0,3,T,18,2.0,5.0,1.0,3,178.0,9603,59624
XXXX,85.0,1,S,30,,4.0,8.0,20,131.0,9504,125144
XXXX,30.0,3,S,30,,5.0,,0,94.08,9512,158948
XXXX,74.0,1,S,30,,2.0,9.0,11,146.0,9511,107277
XXXX,40.0,,,30,1.0,3.0,,0,39.0,9508,124672
XXXX,55.0,2,C,18,1.0,7.0,2.0,0,44.0,9610,186605
XXXX,32.0,1,U,18,,5.0,,0,33.0,9603,93098
XXXX,,1,C,18,,3.0,9.0,0,106.0,9603,36177
XXXX,74.0,1,S,30,,5.0,,0,157.0,9511,117587
XXXX,,2,U,18,,,,0,45.0,9603,189698
XXXX,,1,U,30,,,,0,89.0,9506,1670
XXXX,,2,C,30,,,,0,20.0,9510,136437
XXXX,40.0,3,S,18,1.0,3.0,,0,29.0,9601,117052
XXXX,75.0,2,C,18,,2.0,6.0,13,431.0,9602,33438
XXXX,74.0,2,S,30,,4.0,,0,214.0,9510,130312
XXXX,74.0,2,C,18,,5.0,,0,66.0,9603,170502
XXXX,54.0,2,C,30,,4.0,3.0,1,70.0,9507,118007
XXXX,60.0,1,S,30,,7.0,8.0,30,20.0,9508,164909
XXXX,48.0,3,R,30,,2.0,4.0,1,58.0,9512,29394
XXXX,81.0,3,S,18,,1.0,,0,234.0,9601,66255
XXXX,82.0,4,U,18,,2.0,,0,185.0,9612,5083
XXXX,34.0,3,C,30,,1.0,4.0,0,15.0,9509,108388
XXXX,,3,U,18,,4.0,,0,16.0,9601,94650
XXXX,,3,R,18,,,,0,103.0,9603,57789
XXXX,36.0,2,R,18,,2.0,2.0,1,244.0,9601,20190
XXXX,47.0,1,T,30,,7.0,9.0,1,31.0,9512,142238
XXXX,51.0,1,S,30,,7.0,8.0,0,206.0,9510,147365
XXXX,,2,R,18,,2.0,7.0,3,79.0,9601,105103
XXXX,65.0,3,U,30,2.0,2.0,2.0,1,25.0,9504,161369
XXXX,44.0,1,T,18,2.0,7.0,9.0,3,168.0,9603,23138
XXXX,36.0,2,T,18,,6.0,,0,104.0,9603,123355
XXXX,31.0,2,T,30,2.0,3.0,,0,75.0,9512,118136
XXXX,,1,S,30,,,,0,125.0,9509,11456
XXXX,42.0,2,R,18,,1.0,,0,57.0,9603,123987
XXXX,40.0,1,S,30,,7.0,7.0,1,169.0,9508,152001
XXXX,,2,C,30,,,,0,59.0,9512,136039
