STATE,TIMEDIFF,SESNEI,UCITY,AGE,MDMAUD,DOMAIN,CLUSTER,HOMEOWNR,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,RAMNTALL,LASTGIFT,LASTDATE,TIMELAG,AVGGIFT,CONTROLN
WA,17,1,T,,XXXX,T1,35.0, ,,, ,,0,77.0,30.0,9601,7.0,15.4,179305
TX,15,4,U,71.0,XXXX,U4,10.0, ,,,M,,0,172.0,5.0,9603,4.0,5.375,125104
TN,7,2,T,,XXXX,T2,39.0, ,,,F,,0,100.0,25.0,9611,17.0,20.0,186870
LA,16,1,S,47.0,XXXX,S1,14.0,H,,6.0,F,9.0,5,23.0,20.0,9602,0.0,11.5,109917
SC,16,2,T,67.0,XXXX,T2,40.0,U,,1.0,M,7.0,1,35.0,15.0,9602,3.0,11.666666667,24534
IN,15,3,T,35.0,XXXX,T3,41.0,H,2.0,5.0,M,1.0,3,178.0,25.0,9603,20.0,14.833333333,59624
TX,26,1,S,85.0,XXXX,S1,13.0,H,,4.0,F,8.0,20,131.0,50.0,9504,7.0,26.2,125144
CA,18,3,S,30.0,XXXX,S3,21.0,H,,5.0,U,,0,94.08,14.0,9512,7.0,7.2369230769,158948
NE,19,1,S,74.0,XXXX,S1,12.0,H,,2.0,M,9.0,11,146.0,25.0,9511,15.0,10.428571429,107277
TX,22,,,40.0,XXXX, ,,H,1.0,3.0,M,,0,39.0,5.0,9508,5.0,4.875,124672
FL,8,2,C,55.0,XXXX,C2,27.0,H,1.0,7.0,M,2.0,0,44.0,10.0,9610,4.0,8.8,186605
IL,15,1,U,32.0,XXXX,U1,1.0,U,,5.0,F,,0,33.0,10.0,9603,6.0,8.25,93098
AL,15,1,C,,XXXX,C1,23.0,U,,3.0,F,9.0,0,106.0,15.0,9603,4.0,6.625,36177
TX,19,1,S,74.0,XXXX,S1,15.0,U,,5.0,F,,0,157.0,27.0,9511,10.0,22.428571429,117587
FL,15,2,U,,XXXX,U2,4.0, ,,,M,,0,45.0,25.0,9603,17.0,22.5,189698
CA,24,1,U,,XXXX,U1,1.0, ,,,F,,0,89.0,20.0,9506,4.0,12.714285714,1670
AZ,20,2,C,,XXXX,C2,26.0, ,,,F,,0,20.0,20.0,9510,,20.0,136437
TX,17,3,S,40.0,XXXX,S3,21.0,H,1.0,3.0,F,,0,29.0,5.0,9601,2.0,4.1428571429,117052
FL,16,2,C,75.0,XXXX,C2,27.0,H,,2.0,F,6.0,13,431.0,21.0,9602,3.0,15.962962963,33438
CO,20,2,S,74.0,XXXX,S2,18.0,H,,4.0,M,,0,214.0,25.0,9510,6.0,12.588235294,130312
CA,15,2,C,74.0,XXXX,C2,28.0,H,,5.0,M,,0,66.0,20.0,9603,9.0,8.25,170502
TX,23,2,C,54.0,XXXX,C2,27.0,U,,4.0,F,3.0,1,70.0,25.0,9507,7.0,17.5,118007
CA,22,1,S,60.0,XXXX,S1,13.0,H,,7.0,F,8.0,30,20.0,20.0,9508,,20.0,164909
GA,18,3,R,48.0,XXXX,R3,51.0,U,,2.0,F,4.0,1,58.0,16.0,9512,13.0,11.6,29394
MI,17,3,S,81.0,XXXX,S3,21.0,U,,1.0,F,,0,234.0,20.0,9601,10.0,16.714285714,66255
KY,6,4,U,82.0,XXXX,U4,10.0,H,,2.0,M,,0,185.0,4.0,9612,8.0,10.277777778,5083
LA,21,3,C,34.0,XXXX,C3,31.0,U,,1.0,F,4.0,0,15.0,15.0,9509,,15.0,108388
IL,17,3,U,,XXXX,U3,8.0,U,,4.0,F,,0,16.0,3.0,9601,5.0,5.3333333333,94650
KY,15,3,R,,XXXX,R3,51.0, ,,,F,,0,103.0,11.0,9603,13.0,9.3636363636,57789
NC,17,2,R,36.0,XXXX,R2,47.0,U,,2.0,M,2.0,1,244.0,25.0,9601,22.0,20.333333333,20190
NV,18,1,T,47.0,XXXX,T1,35.0,H,,7.0,F,9.0,1,31.0,15.0,9512,4.0,10.333333333,142238
CA,20,1,S,51.0,XXXX,S1,12.0,H,,7.0,F,8.0,0,206.0,20.0,9510,8.0,15.846153846,147365
KS,17,2,R,,XXXX,R2,44.0,U,,2.0,M,7.0,3,79.0,24.0,9601,4.0,11.285714286,105103
CA,26,3,U,65.0,XXXX,U3,8.0,H,2.0,2.0,F,2.0,1,25.0,20.0,9504,15.0,12.5,161369
SC,15,1,T,44.0,XXXX,T1,35.0,H,2.0,7.0,M,9.0,3,168.0,10.0,9603,10.0,7.6363636364,23138
TX,15,2,T,36.0,XXXX,T2,40.0,U,,6.0,F,,0,104.0,11.0,9603,3.0,10.4,123355
TX,18,2,T,31.0,XXXX,T2,36.0,H,2.0,3.0,F,,0,75.0,5.0,9512,7.0,5.7692307692,118136
TX,21,1,S,,XXXX,S1,15.0, ,,, ,,0,125.0,30.0,9509,4.0,25.0,11456
TX,15,2,R,42.0,XXXX,R2,49.0,H,,1.0,F,,0,57.0,10.0,9603,1.0,5.1818181818,123987
CA,22,1,S,40.0,XXXX,S1,13.0,H,,7.0,F,7.0,1,169.0,20.0,9508,13.0,13.0,152001
AZ,18,2,C,,XXXX,C2,29.0, ,,, ,,0,59.0,20.0,9512,11.0,11.8,136039
GA,16,1,C,39.0,XXXX,C1,24.0,H,2.0,3.0,M,7.0,4,60.0,10.0,9602,1.0,8.5714285714,29916
CA,15,2,C,50.0,XXXX,C2,27.0,H,,7.0,F,8.0,9,37.0,12.0,9603,7.0,12.333333333,164090
CA,18,1,T,50.0,XXXX,T1,35.0,H,,7.0,M,,0,114.0,10.0,9512,13.0,8.1428571429,157688
OR,21,2,R,74.0,XXXX,R2,48.0,H,,1.0,M,1.0,12,45.0,20.0,9509,8.0,11.25,177843
NC,21,1,S,39.0,XXXX,S1,14.0,H,,6.0,F,9.0,0,102.0,37.0,9509,5.0,34.0,17624
MI,18,3,R,55.0,XXXX,R3,51.0,H,,3.0,M,,0,111.0,19.0,9512,7.0,11.1,72917
FL,24,2,C,,XXXX,C2,28.0, ,,, ,,0,50.0,25.0,9506,4.0,25.0,190071
TX,21,3,C,40.0,XXXX,C3,31.0,H,,5.0,F,,0,42.0,9.0,9509,4.0,8.4,128410
MO,16,1,U,53.0,XXXX,U1,3.0,H,,5.0,M,9.0,3,22.0,7.0,9602,1.0,7.3333333333,102367
FL,16,3,U,46.0,XXXX,U3,8.0,U,,4.0,M,2.0,7,25.0,15.0,9602,15.0,12.5,37523
CA,21,3,C,,XXXX,C3,31.0, ,,,M,,0,65.0,25.0,9509,8.0,21.666666667,187504
MI,5,2,T,,C2LM,T2,36.0, ,,,M,,0,471.0,100.0,9701,7.0,29.4375,11820
CO,22,1,S,,XXXX,S1,12.0, ,,,M,,0,186.0,25.0,9508,7.0,14.307692308,188044
AR,15,2,C,,XXXX,C2,28.0, ,,,F,,0,20.0,20.0,9603,,20.0,111103
MI,15,2,R,,XXXX,R2,44.0,U,,4.0,U,4.0,7,109.0,10.0,9603,14.0,7.2666666667,72086
WI,18,1,S,53.0,XXXX,S1,13.0,H,1.0,4.0,F,,0,793.0,41.0,9512,1.0,33.041666667,77110
CA,16,2,T,77.0,XXXX,T2,37.0, ,,,F,,0,115.0,13.0,9602,9.0,9.5833333333,160549
NV,16,1,S,42.0,XXXX,S1,12.0,H,,6.0,F,8.0,0,27.0,5.0,9602,2.0,6.75,140772
IL,21,2,C,79.0,XXXX,C2,27.0,U,,2.0,F,2.0,19,120.0,15.0,9509,3.0,7.5,95972
WI,18,2,U,83.0,XXXX,U2,7.0, ,,,M,,0,210.0,10.0,9512,11.0,7.2413793103,78344
FL,26,2,C,75.0,XXXX,C2,29.0,H,,5.0,F,8.0,16,179.0,10.0,9504,5.0,8.95,5373
CA,26,1,U,,XXXX,U1,1.0, ,,,F,,0,183.0,12.0,9504,11.0,16.636363636,163921
AL,16,2,S,62.0,XXXX,S2,20.0,H,,1.0,M,6.0,23,77.0,15.0,9602,2.0,11.0,49546
NE,15,,,91.0,XXXX, ,, ,,,F,,0,205.0,5.0,9603,6.0,2.2777777778,9915
IN,19,2,R,64.0,XXXX,R2,44.0,H,,5.0,F,7.0,9,58.0,15.0,9511,16.0,9.6666666667,59779
FL,4,2,R,62.0,XXXX,R2,49.0, ,,4.0,M,5.0,12,291.03,10.0,9702,7.0,13.228636364,189308
CA,18,4,U,33.0,XXXX,U4,10.0,H,,4.0,F,2.0,1,84.0,10.0,9512,5.0,9.3333333333,144162
IL,20,1,S,41.0,XXXX,S1,14.0,H,3.0,5.0,M,9.0,3,98.0,20.0,9510,4.0,12.25,88773
MO,18,3,C,50.0,XXXX,C3,30.0,U,,5.0,F,,0,127.0,10.0,9512,1.0,12.7,102394
CA,24,2,T,55.0,XXXX,T2,40.0,H,,6.0,M,7.0,2,289.0,20.0,9506,3.0,17.0,6084
ND,26,2,T,66.0,XXXX,T2,39.0,U,,1.0,F,1.0,0,97.0,14.0,9504,15.0,9.7,86491
CA,25,2,R,,XXXX,R2,44.0,U,,1.0,F,2.0,0,26.0,20.0,9505,10.0,13.0,161792
MI,16,2,S,54.0,XXXX,S2,16.0,H,,4.0,F,,0,95.0,25.0,9602,12.0,19.0,66341
CA,16,1,S,57.0,XXXX,S1,12.0,H,1.0,4.0,F,7.0,7,198.0,26.0,9602,15.0,18.0,161475
TN,25,2,R,84.0,XXXX,R2,45.0,U,,6.0,F,3.0,2,56.0,15.0,9505,7.0,9.3333333333,54079
KY,20,3,S,85.0,XXXX,S3,21.0,H,,2.0,M,6.0,8,75.0,5.0,9510,5.0,5.3571428571,56390
CA,21,1,U,,XXXX,U1,3.0, ,,,F,,0,158.5,15.0,9509,2.0,8.3421052632,149832
TX,16,1,C,84.0,XXXX,C1,22.0,U,,2.0,F,6.0,2,327.0,50.0,9602,2.0,17.210526316,5914
IL,26,2,T,54.0,XXXX,T2,40.0,H,,3.0,M,6.0,8,104.0,14.0,9504,5.0,9.4545454545,97964
GA,17,2,R,66.0,XXXX,R2,49.0,H,,4.0,F,4.0,10,15.0,15.0,9601,,15.0,26733
SC,21,1,C,71.0,XXXX,C1,24.0,H,,5.0,M,9.0,10,69.0,16.0,9509,13.0,11.5,25383
GA,21,2,R,88.0,XXXX,R2,47.0,H,,1.0,F,1.0,0,20.0,20.0,9509,,20.0,29296
MN,18,1,S,76.0,XXXX,S1,12.0,H,,5.0,M,7.0,3,80.0,10.0,9512,14.0,4.7058823529,83729
MO,25,3,U,75.0,XXXX,U3,8.0,H,,3.0,M,,0,90.0,15.0,9505,25.0,10.0,8214
MI,21,1,T,43.0,XXXX,T1,35.0,H,,6.0,F,9.0,2,20.0,20.0,9509,,20.0,66967
TX,23,2,T,68.0,XXXX,T2,36.0,H,2.0,2.0,F,5.0,24,274.0,32.0,9507,4.0,21.076923077,127764
NE,15,1,S,46.0,XXXX,S1,14.0,H,,6.0,F,,0,85.0,15.0,9603,4.0,12.142857143,106956
WI,24,2,R,73.0,XXXX,R2,43.0,H,,7.0,F,9.0,0,65.8,10.0,9506,3.0,1.8277777778,81153
FL,18,2,S,,XXXX,S2,19.0,H,,4.0,F,5.0,5,141.0,10.0,9512,7.0,8.2941176471,38420
CA,25,2,S,45.0,XXXX,S2,20.0,H,,5.0,M,6.0,0,55.0,25.0,9505,11.0,18.333333333,149621
TX,22,3,S,53.0,XXXX,S3,21.0,H,,5.0,F,6.0,7,72.0,15.0,9508,11.0,12.0,121002
CA,4,3,C,79.0,XXXX,C3,33.0,U,,1.0,M,1.0,4,143.0,5.0,9702,4.0,6.2173913043,13497
FL,17,1,C,79.0,XXXX,C1,23.0,H,,7.0,M,8.0,1,15.0,15.0,9601,,15.0,39996
AZ,16,2,R,,XXXX,R2,44.0,H,,3.0,F,,0,127.0,10.0,9602,8.0,9.7692307692,136368
CA,18,2,U,48.0,XXXX,U2,5.0,H,,5.0,F,6.0,12,90.0,25.0,9512,2.0,18.0,146450
OR,18,2,R,47.0,XXXX,R2,45.0,H,,4.0,M,4.0,14,81.0,15.0,9512,7.0,8.1,176597
CA,18,1,S,,XXXX,S1,13.0,H,,7.0,F,8.0,2,42.0,10.0,9512,2.0,7.0,169785
